Keithley_v,Keithley_a,b2901a_v,b2901a_a
12.5,1.455197e-10,3.0,1.9353e-08
12.5,1.360385e-10,4.0,-8.129e-09
12.5,1.387256e-10,5.0,-1.4424e-08
12.5,1.308162e-10,6.0,1.9076e-08
12.5,1.14338e-10,7.0,-1.827e-09
12.5,1.171266e-10,8.0,-1.8251e-08
12.5,2.052976e-10,9.0,1.4115e-08
12.5,1.619475e-10,10.0,9.352e-09
12.5,8.016467e-11,11.0,-1.8129e-08
12.5,9.147136e-11,12.0,-6.432e-09
12.5,8.09252e-11,13.0,1.9462e-08
12.5,7.798452e-11,14.0,-1.1811e-08
12.5,7.970834e-11,15.0,-8.901e-09
12.5,7.702117e-11,16.0,1.9438e-08
12.5,7.002428e-11,17.0,-9.814e-09
12.5,7.909989e-11,18.0,-1.4643e-08
12.5,7.666627e-11,19.0,1.8256e-08
12.5,6.272315e-11,20.0,-2.77e-09
12.5,6.992289e-11,21.0,-1.8981e-08
12.5,7.666627e-11,22.0,1.0829e-08
12.5,6.383859e-11,23.0,9.099e-09
12.5,6.39401e-11,24.0,-1.9443e-08
12.5,6.672866e-11,25.0,5.963e-09
12.5,5.684168e-11,26.0,1.4398e-08
12.5,5.385023e-11,27.0,-1.8445e-08
12.5,6.804686e-11,28.0,-2.352e-09
12.5,5.471229e-11,29.0,1.8355e-08
12.5,5.090958e-11,30.0,-1.5952e-08
12.5,5.745017e-11,31.0,-7.025e-09
12.5,5.329244e-11,32.0,1.9694e-08
12.5,4.345632e-11,33.0,-1.1618e-08
12.5,5.009831e-11,34.0,-1.0494e-08
12.5,4.629563e-11,35.0,1.9688e-08
12.5,3.863963e-11,36.0,-2.46e-09
12.5,4.578865e-11,37.0,-1.5209e-08
12.5,4.406477e-11,38.0,1.8642e-08
12.5,3.914676e-11,39.0,-8.73e-10
12.5,3.869043e-11,40.0,-1.8656e-08
16.25,8.83794e-10,-9.0,-5.5e-11
16.25,3.862535e-10,-8.0,-1.7563e-08
16.25,3.953797e-10,-7.0,-1.4838e-08
16.25,3.386952e-10,-6.0,1.9166e-08
16.25,3.062965e-10,-5.0,-4.091e-09
