Keithley_v,Keithley_a,b2901a_v,b2901a_a
4.0,4.446529e-10,12.5,1.8803e-08
5.0,5.252175e-10,12.5,1.9341e-08
6.0,6.054268e-10,12.5,-1.7232e-08
7.0,5.675528e-10,12.5,-6.935e-09
8.0,6.123222e-10,12.5,3.793e-09
9.0,6.807181e-10,12.5,-1.5305e-08
10.0,6.987169e-10,12.5,1.9161e-08
11.0,7.673664e-10,12.5,9.398e-09
12.0,8.066606e-10,12.5,-1.3536e-08
13.0,7.989025e-10,12.5,1.9184e-08
14.0,8.875799e-10,12.5,6.864e-09
15.0,9.022828e-10,12.5,8.73e-09
16.0,8.807851e-10,12.5,-1.8183e-08
17.0,9.086211e-10,12.5,1.7209e-08
18.0,9.965868e-10,12.5,1.312e-09
19.0,1.005054e-09,12.5,1.2154e-08
20.0,1.021025e-09,12.5,-1.8023e-08
21.0,9.980071e-10,12.5,1.8115e-08
22.0,1.080244e-09,12.5,-9.123e-09
23.0,1.043334e-09,12.5,1.905e-08
24.0,1.139818e-09,12.5,-1.0283e-08
25.0,1.06255e-09,12.5,-1.71e-09
26.0,1.145496e-09,12.5,1.5511e-08
27.0,1.167502e-09,12.5,1.6814e-08
28.0,1.220282e-09,12.5,1.947e-09
29.0,1.187934e-09,12.5,1.9103e-08
30.0,1.256685e-09,12.5,-1.6628e-08
31.0,1.198328e-09,12.5,5.11e-10
32.0,1.2361e-09,12.5,1.7371e-08
33.0,1.311137e-09,12.5,1.3073e-08
34.0,1.32579e-09,12.5,6.137e-09
35.0,1.299983e-09,12.5,1.9064e-08
36.0,1.363208e-09,12.5,-1.7997e-08
37.0,1.303329e-09,12.5,7.2e-10
38.0,1.396113e-09,12.5,-1.7744e-08
39.0,1.350228e-09,12.5,1.807e-08
40.0,1.442555e-09,12.5,-1.2299e-08
-9.0,-5.619845e-09,16.25,-1.4817e-08
-8.0,-2.555304e-09,16.25,5.238e-09
-7.0,-1.524427e-09,16.25,1.4839e-08
-6.0,-9.764098e-10,16.25,1.9244e-08
-5.0,-6.092574e-10,16.25,1.6028e-08
-4.0,-3.49649e-10,16.25,-1.1927e-08
-3.0,-2.540707e-10,16.25,5.044e-09
