keithley: v, a	b2901a: v a
2.390000000, 0.000000000	15.000000000, -0.000000002
2.980000000, 0.000000000	15.000000000, -0.000000024
3.570000000, 0.000000000	15.000000000, 0.000000005
4.160000000, 0.000000000	15.000000000, -0.000000022
4.750000000, 0.000000000	15.000000000, 0.000000016
5.340000000, 0.000000000	15.000000000, -0.000000021
5.930000000, 0.000000000	15.000000000, 0.000000017
6.520000000, 0.000000000	15.000000000, 0.000000011
7.110000000, 0.000000000	15.000000000, -0.000000024
7.700000000, 0.000000000	15.000000000, 0.000000000
8.290000000, 0.000000000	15.000000000, -0.000000022
8.880000000, 0.000000000	15.000000000, -0.000000011
9.470000000, 0.000000000	15.000000000, 0.000000022
10.060000000, 0.000000000	15.000000000, 0.000000012
10.650000000, 0.000000001	15.000000000, -0.000000021
11.240000000, 0.000000001	15.000000000, -0.000000015
11.830000000, 0.000000001	15.000000000, 0.000000018
12.420000000, 0.000000001	15.000000000, -0.000000021
13.010000000, 0.000000001	15.000000000, 0.000000014
13.600000000, 0.000000001	15.000000000, 0.000000022
14.190000000, 0.000000001	15.000000000, -0.000000009
14.780000000, 0.000000001	15.000000000, -0.000000023
15.370000000, 0.000000001	15.000000000, 0.000000006
15.960000000, 0.000000001	15.000000000, 0.000000024
16.550000000, 0.000000001	15.000000000, -0.000000009
17.140000000, 0.000000001	15.000000000, -0.000000024
17.730000000, 0.000000001	15.000000000, 0.000000009
18.320000000, 0.000000001	15.000000000, 0.000000024
18.910000000, 0.000000001	15.000000000, -0.000000001
19.500000000, 0.000000001	15.000000000, -0.000000022
-9.410000000, -0.000000003	20.000000000, -0.000000007
-8.820000000, -0.000000002	20.000000000, -0.000000024
-8.230000000, -0.000000001	20.000000000, -0.000000009
-7.640000000, -0.000000001	20.000000000, 0.000000021
-7.050000000, -0.000000000	20.000000000, 0.000000010
-6.460000000, -0.000000000	20.000000000, 0.000000025
-5.870000000, -0.000000000	20.000000000, 0.000000002
-5.280000000, -0.000000000	20.000000000, -0.000000024
-4.690000000, -0.000000000	20.000000000, 0.000000008
-4.100000000, 0.000000000	20.000000000, 0.000000024
-3.510000000, 0.000000000	20.000000000, -0.000000006
-2.920000000, 0.000000000	20.000000000, 0.000000024
-2.330000000, 0.000000000	20.000000000, 0.000000005
-1.740000000, 0.000000000	20.000000000, -0.000000023
-1.150000000, 0.000000000	20.000000000, -0.000000008
-0.560000000, 0.000000000	20.000000000, 0.000000022
0.030000000, 0.000000000	20.000000000, 0.000000015
0.620000000, 0.000000000	20.000000000, -0.000000022
1.210000000, 0.000000000	20.000000000, -0.000000007
1.800000000, 0.000000000	20.000000000, 0.000000025
2.390000000, 0.000000000	20.000000000, -0.000000010
2.980000000, 0.000000000	20.000000000, -0.000000022
3.570000000, 0.000000000	20.000000000, 0.000000019
4.160000000, 0.000000000	20.000000000, 0.000000010
4.750000000, 0.000000000	20.000000000, -0.000000024
5.340000000, 0.000000000	20.000000000, 0.000000010
5.930000000, 0.000000000	20.000000000, 0.000000022
6.520000000, 0.000000000	20.000000000, -0.000000014
7.110000000, 0.000000000	20.000000000, -0.000000012
7.700000000, 0.000000000	20.000000000, 0.000000022
8.290000000, 0.000000000	20.000000000, 0.000000016
8.880000000, 0.000000000	20.000000000, -0.000000015
9.470000000, 0.000000001	20.000000000, -0.000000019
10.060000000, 0.000000001	20.000000000, -0.000000018
10.650000000, 0.000000001	20.000000000, -0.000000014
11.240000000, 0.000000001	20.000000000, 0.000000017
11.830000000, 0.000000001	20.000000000, 0.000000021
12.420000000, 0.000000001	20.000000000, -0.000000009
13.010000000, 0.000000001	20.000000000, -0.000000023
13.600000000, 0.000000001	20.000000000, 0.000000005
14.190000000, 0.000000001	20.000000000, 0.000000023
14.780000000, 0.000000001	20.000000000, -0.000000012
15.370000000, 0.000000001	20.000000000, 0.000000024
15.960000000, 0.000000001	20.000000000, -0.000000007
16.550000000, 0.000000001	20.000000000, -0.000000024
17.140000000, 0.000000001	20.000000000, 0.000000004
17.730000000, 0.000000001	20.000000000, 0.000000025
18.320000000, 0.000000001	20.000000000, -0.000000005
18.910000000, 0.000000001	20.000000000, 0.000000024
19.500000000, 0.000000001	20.000000000, -0.000000011
