keithley_v(b2901_in=5.0),keithley_a(b2901_in=5.0),b2901_a(b2901_in=5.0),keithley_v(b2901_in=10.0),keithley_a(b2901_in=10.0),b2901_a(b2901_in=10.0),keithley_v(b2901_in=15.0),keithley_a(b2901_in=15.0),b2901_a(b2901_in=15.0),keithley_v(b2901_in=20.0),keithley_a(b2901_in=20.0),b2901_a(b2901_in=20.0)
11.83,5.718772e-10,5.066e-09,11.83,5.568185e-10,-1.6177e-08,11.83,5.296926e-10,1.8019e-08,11.83,5.367401e-10,2.077e-08
12.42,5.913976e-10,2.2598e-08,12.42,5.671107e-10,-1.7555e-08,12.42,5.165605e-10,-2.0727e-08,12.42,5.532692e-10,-8.561e-09
13.01,6.187265e-10,8.8e-09,13.01,5.778599e-10,-9.707e-09,13.01,5.304023e-10,1.4423e-08,13.01,5.580351e-10,-2.3492e-08
13.6,6.371316e-10,-2.1851e-08,13.6,5.864796e-10,-2.3243e-08,13.6,5.301993e-10,2.1755e-08,13.6,5.690878e-10,5.307e-09
14.19,6.620259e-10,-1.0946e-08,14.19,6.031097e-10,-1.2634e-08,14.19,5.573254e-10,-9.146e-09,14.19,5.803947e-10,2.2891e-08
14.78,6.774905e-10,1.8366e-08,14.78,6.119825e-10,-2.2546e-08,14.78,5.755271e-10,-2.2938e-08,14.78,5.989522e-10,-1.1725e-08
15.37,6.585786e-10,1.5475e-08,15.37,6.245569e-10,-1.6715e-08,15.37,5.779612e-10,5.542e-09,15.37,6.035659e-10,2.4282e-08
15.96,6.689215e-10,1.6973e-08,15.96,6.417452e-10,1.8287e-08,15.96,5.970757e-10,2.4353e-08,15.96,6.276998e-10,-6.927e-09
16.55,7.059343e-10,1.9352e-08,16.55,6.410858e-10,-2.2653e-08,16.55,6.026528e-10,-8.842e-09,16.55,6.179146e-10,-2.4086e-08
17.14,7.061879e-10,-9.206e-09,17.14,6.648652e-10,5.583e-09,17.14,6.186751e-10,-2.3518e-08,17.14,6.247088e-10,4.066e-09
17.73,7.523778e-10,-2.43e-08,17.73,6.842844e-10,-1.996e-08,17.73,6.315031e-10,8.625e-09,17.73,6.403246e-10,2.4748e-08
18.32,7.232238e-10,-6.055e-09,18.32,6.956415e-10,-2.128e-08,18.32,6.44635e-10,2.3739e-08,18.32,6.552823e-10,-5.449e-09
18.91,6.991914e-10,1.99e-08,18.91,6.95895e-10,-9.251e-09,18.91,6.476771e-10,-1.171e-09,18.91,6.523921e-10,2.4252e-08
19.5,6.923461e-10,1.5755e-08,19.5,7.282431e-10,-2.3338e-08,19.5,6.702393e-10,-2.211e-08,19.5,6.79417e-10,-1.0758e-08
